time_s,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
0.000000,0.55,-0.87,0.18,0.92,18.86,36.87
0.020000,0.56,-0.86,0.17,-3.78,19.04,35.95
0.040000,0.57,-0.84,0.16,-7.63,18.74,34.97
0.060000,0.61,-0.83,0.16,5.19,6.96,32.71
0.080000,0.61,-0.84,0.17,10.44,2.32,31.8
0.100000,0.61,-0.85,0.17,13.0,-1.77,29.48
0.120000,0.61,-0.86,0.16,12.82,-4.88,26.79
0.140000,0.61,-0.86,0.15,12.02,-7.69,24.11
0.160000,0.61,-0.86,0.15,12.33,-10.31,21.18
0.180000,0.61,-0.87,0.15,13.73,-13.18,18.07
0.200000,0.59,-0.87,0.15,15.38,-19.53,10.25
0.220000,0.59,-0.86,0.14,14.34,-21.0,5.0
0.240000,0.61,-0.85,0.15,13.18,-21.24,-0.37
0.260000,0.62,-0.83,0.17,12.82,-21.48,-4.52
0.280000,0.64,-0.8,0.17,12.7,-22.77,-7.2
0.300000,0.66,-0.75,0.14,16.11,-26.86,-9.16
0.320000,0.67,-0.72,0.11,34.67,-38.82,-11.84
0.340000,0.62,-0.82,0.17,87.4,-70.31,-16.97
0.360000,0.62,-0.84,0.18,76.17,-65.67,-16.72
0.380000,0.62,-0.82,0.16,44.68,-49.5,-15.5
0.400000,0.64,-0.79,0.13,14.77,-32.59,-14.53
0.420000,0.65,-0.77,0.12,-3.85,-20.51,-14.16
0.440000,0.65,-0.77,0.12,-14.34,-12.21,-13.98
0.460000,0.65,-0.75,0.11,-20.57,-6.29,-13.85
0.480000,0.66,-0.75,0.14,-21.18,-0.92,-14.59
0.500000,0.66,-0.8,0.18,-20.14,-0.18,-14.34
0.520000,0.62,-0.91,0.26,-27.71,2.87,-12.15
0.540000,0.64,-0.79,0.13,14.77,-32.59,-14.53
0.560000,0.65,-0.77,0.12,-3.85,-20.51,-14.16
0.580000,0.65,-0.77,0.12,-14.34,-12.21,-13.98
0.600000,0.65,-0.75,0.11,-20.57,-6.29,-13.85
0.620000,0.55,-1.17,0.4,-107.3,33.14,-10.99
0.640000,0.56,-1.22,0.42,-165.83,50.23,-20.94
0.660000,0.58,-1.23,0.44,-209.23,52.49,-37.48
0.680000,0.61,-1.22,0.5,-231.02,41.87,-56.64
0.700000,0.66,-1.21,0.62,-238.65,28.02,-74.83
0.720000,0.7,-1.2,0.75,-243.96,15.14,-88.87
0.740000,0.73,-1.17,0.84,-252.62,0.79,-98.14
0.760000,0.76,-0.96,0.85,-245.97,-42.66,-107.97
0.780000,0.75,-0.85,0.86,-219.6,-66.28,-107.6
0.800000,0.71,-0.76,0.87,-182.56,-90.27,-101.62
0.820000,0.64,-0.7,0.85,-140.14,-119.63,-93.75
0.840000,0.55,-0.66,0.82,-98.02,-152.04,-88.32
0.860000,0.45,-0.66,0.81,-62.5,-175.9,-83.98
0.880000,0.36,-0.71,0.88,-41.99,-180.73,-79.1
0.900000,0.3,-0.7,1.01,-60.49,-153.2,-77.76
0.920000,0.3,-0.65,1.04,-76.35,-146.79,-78.37
0.940000,0.27,-0.61,1.04,-82.76,-148.8,-75.07
0.960000,0.22,-0.55,0.96,-87.52,-152.95,-68.48
0.980000,0.18,-0.48,0.82,-93.32,-157.78,-61.16
1.000000,0.12,-0.43,0.71,-93.93,-161.68,-54.99
1.020000,0.06,-0.39,0.66,-87.04,-159.67,-51.57
1.040000,0.0,-0.27,0.67,-61.71,-138.31,-50.17
1.060000,-0.03,-0.19,0.58,-49.13,-135.93,-47.79
1.080000,-0.09,-0.12,0.42,-39.06,-145.26,-42.97
1.100000,0.22,-0.55,0.96,-87.52,-152.95,-68.48
1.120000,0.18,-0.48,0.82,-93.32,-157.78,-61.16
1.140000,0.12,-0.43,0.71,-93.93,-161.68,-54.99
1.160000,0.06,-0.39,0.66,-87.04,-159.67,-51.57
