time_s,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
0.000000,0.68,-0.56,0.85,-129.03,-153.75,-47.3
0.020000,0.61,-0.53,0.82,-112.98,-165.47,-38.09
0.040000,0.54,-0.52,0.84,-97.6,-170.17,-30.52
0.060000,0.46,-0.52,0.98,-80.63,-160.58,-29.54
0.080000,0.44,-0.49,1.04,-84.23,-155.94,-32.96
0.100000,0.42,-0.45,1.04,-96.5,-153.08,-32.84
0.120000,0.38,-0.38,1.01,-114.01,-148.25,-26.06
0.140000,0.32,-0.32,0.92,-133.0,-142.46,-14.28
0.160000,0.25,-0.24,0.78,-149.9,-136.41,-2.01
0.180000,0.17,-0.15,0.64,-153.2,-131.16,5.62
0.200000,-0.0,-0.04,0.46,-89.29,-132.63,-1.53
0.220000,-0.07,-0.03,0.39,-52.92,-132.87,-4.33
0.240000,-0.14,-0.02,0.33,-32.96,-127.2,1.28
0.260000,-0.23,-0.01,0.25,-27.28,-115.23,11.6
0.280000,-0.33,-0.01,0.16,-25.21,-100.65,20.02
0.300000,-0.44,-0.04,0.12,-20.08,-81.42,22.28
0.320000,-0.5,-0.04,0.11,-17.7,-51.33,17.88
0.340000,-0.49,0.0,0.06,-12.27,13.18,0.73
0.360000,-0.47,-0.01,0.06,4.46,29.17,-4.94
0.380000,-0.45,-0.03,0.11,24.72,41.38,-7.75
0.400000,-0.41,-0.06,0.22,38.64,61.71,-9.95
0.420000,-0.33,-0.01,0.16,-25.21,-100.65,20.02
0.440000,-0.44,-0.04,0.12,-20.08,-81.42,22.28
0.460000,-0.5,-0.04,0.11,-17.7,-51.33,17.88
0.480000,-0.32,-0.07,0.36,43.21,91.67,-12.39
0.500000,-0.21,-0.06,0.49,43.21,121.28,-14.16
0.520000,-0.12,-0.06,0.59,45.17,137.88,-14.34
0.540000,-0.07,-0.09,0.63,48.4,140.01,-12.08
0.560000,-0.02,-0.14,0.66,45.29,140.08,-6.96
0.580000,0.06,-0.16,0.71,31.56,151.0,-0.98
0.600000,0.17,-0.13,0.74,17.76,168.95,1.83
0.620000,0.33,-0.16,0.7,58.35,159.79,1.16
0.640000,0.43,-0.32,0.9,97.41,150.57,4.46
0.660000,0.57,-0.44,1.27,112.79,168.09,6.35
0.680000,0.66,-0.43,1.5,94.24,194.82,1.71
0.700000,0.64,-0.32,1.39,60.85,191.28,-4.33
0.720000,0.56,-0.24,1.01,45.29,149.54,-0.79
0.740000,0.49,-0.26,0.66,56.95,101.5,12.76
0.760000,0.54,-0.39,0.46,102.54,86.98,33.57
0.780000,0.64,-0.46,0.54,125.79,106.81,31.25
0.800000,0.75,-0.55,0.66,149.05,124.21,23.93
0.820000,0.84,-0.6,0.73,161.68,133.06,15.62
0.840000,0.91,-0.59,0.7,163.51,130.13,10.13
0.860000,0.96,-0.59,0.61,166.26,119.63,11.84
0.880000,0.49,-0.26,0.66,56.95,101.5,12.76
0.900000,1.02,-0.66,0.59,166.32,113.53,22.03
0.920000,1.09,-0.75,0.66,148.07,124.88,39.67
0.940000,1.12,-0.78,0.71,115.78,146.42,58.47
0.960000,1.12,-0.77,0.7,93.32,153.26,69.4
0.980000,1.1,-0.78,0.67,94.48,136.78,71.04
1.000000,1.05,-0.82,0.66,111.63,110.6,69.03
1.020000,0.99,-0.89,0.68,123.72,90.88,68.36
1.040000,0.86,-0.94,0.72,84.96,80.08,70.19
1.060000,0.8,-0.91,0.7,52.86,72.14,64.33
1.080000,0.76,-0.87,0.65,28.93,57.68,52.0
1.100000,0.72,-0.83,0.61,16.24,39.86,35.64
1.120000,0.7,-0.81,0.6,10.01,21.79,17.4
1.140000,0.7,-0.8,0.61,3.6,5.0,-1.1
1.160000,0.7,-0.77,0.6,-5.0,-10.62,-17.27
1.180000,0.72,-0.69,0.51,-21.55,-32.84,-34.12
1.200000,0.72,-0.7,0.53,-25.63,-38.51,-36.8
1.220000,0.72,-0.73,0.59,-28.63,-40.65,-39.86
1.240000,0.73,-0.77,0.67,-33.33,-43.03,-45.72
1.260000,0.75,-0.8,0.72,-41.14,-49.87,-55.24
1.280000,0.77,-0.8,0.71,-52.12,-63.11,-69.34
1.300000,0.7,-0.77,0.6,-5.0,-10.62,-17.27
1.320000,0.82,-0.75,0.66,-75.87,-86.79,-97.05
1.340000,0.83,-0.72,0.67,-88.81,-84.78,-97.53
1.360000,0.83,-0.67,0.69,-104.13,-78.25,-88.13
1.380000,0.83,-0.62,0.69,-120.67,-75.93,-74.52
1.400000,0.81,-0.57,0.66,-133.91,-81.3,-60.67
1.420000,0.77,-0.54,0.61,-135.62,-91.06,-48.03
1.440000,0.72,-0.53,0.58,-123.11,-100.4,-38.33
1.460000,0.65,-0.55,0.64,-107.91,-95.89,-27.22
1.480000,0.62,-0.49,0.63,-118.41,-81.67,-22.09
1.500000,0.61,-0.41,0.68,-117.25,-74.77,-23.99
1.520000,0.6,-0.38,0.75,-99.3,-73.0,-39.79
1.540000,0.58,-0.44,0.65,-77.7,-62.74,-64.82
1.560000,0.53,-0.53,0.45,-62.68,-60.73,-85.94
1.580000,0.46,-0.58,0.51,-48.16,-96.19,-93.02
1.600000,0.34,-0.52,0.88,-33.26,-146.73,-73.12
1.620000,0.3,-0.46,0.75,-38.45,-111.76,-65.61
1.640000,0.24,-0.46,0.58,-43.4,-86.36,-73.3
1.660000,0.18,-0.47,0.53,-48.16,-90.27,-84.66
1.680000,0.14,-0.42,0.55,-45.65,-104.37,-82.58
1.700000,0.11,-0.39,0.6,-46.51,-112.3,-71.41
1.720000,0.46,-0.58,0.51,-48.16,-96.19,-93.02
1.740000,0.07,-0.38,0.64,-86.18,-111.39,-58.17
1.760000,-0.01,-0.31,0.63,-163.82,-99.79,-44.19
1.780000,-0.19,-0.25,0.56,-212.65,-86.91,-46.26
1.800000,-0.3,-0.29,0.54,-177.0,-92.53,-76.97
1.820000,-0.23,-0.27,0.64,-134.16,-112.24,-103.03
1.840000,-0.13,-0.07,0.88,-131.65,-122.5,-92.83
1.860000,-0.13,0.06,1.13,-79.83,-105.16,-70.31
1.880000,-0.3,-0.06,0.99,19.96,15.2,-58.84
1.900000,-0.3,-0.02,0.77,17.03,52.25,-58.17
1.920000,-0.26,-0.01,0.69,30.15,39.55,-67.38
1.940000,-0.24,-0.09,0.75,65.25,7.39,-82.64
1.960000,-0.28,-0.22,0.89,99.55,-13.43,-83.07
1.980000,-0.32,-0.29,0.87,116.27,-13.73,-55.48
2.000000,-0.3,-0.23,0.78,98.51,-12.57,-16.78
2.020000,-0.24,-0.09,0.76,15.08,-45.65,9.22
2.040000,-0.32,-0.08,0.81,-21.12,-53.71,-8.91
2.060000,-0.36,-0.11,0.85,-32.1,-46.63,-42.54
2.080000,-0.4,-0.08,0.84,-23.38,-21.79,-71.72
2.100000,-0.38,-0.04,0.82,-20.45,31.31,-83.62
2.120000,-0.26,-0.04,0.93,-11.72,105.16,-75.68
2.140000,-0.3,-0.23,0.78,98.51,-12.57,-16.78
2.160000,-0.2,-0.03,1.08,13.85,145.02,-44.98
2.180000,-0.16,-0.05,1.09,46.75,121.34,4.94
2.200000,-0.13,-0.12,1.0,70.37,70.62,49.44
2.220000,-0.17,-0.18,0.95,65.73,35.58,60.0
2.240000,-0.16,-0.2,1.02,33.94,28.63,35.4
2.260000,-0.17,-0.19,1.09,-6.9,22.28,-2.14
2.280000,-0.22,-0.17,1.05,-32.1,-0.61,-24.78
2.300000,-0.08,-0.26,1.01,2.01,45.35,-7.87
2.320000,-0.06,-0.3,1.06,15.14,65.73,-10.68
2.340000,-0.13,-0.29,1.08,10.68,50.72,-22.03
2.360000,-0.19,-0.29,1.07,6.29,23.5,-27.47
2.380000,-0.19,-0.32,1.0,9.58,2.69,-28.5
2.400000,-0.13,-0.32,0.95,8.67,-8.3,-38.02
2.420000,-0.12,-0.25,1.01,-4.27,-10.99,-56.21
2.440000,-0.16,-0.18,1.15,-25.45,6.35,-58.9
2.460000,-0.17,-0.29,1.05,-20.63,10.86,-48.16
2.480000,-0.13,-0.39,0.93,-0.92,4.27,-49.62
2.500000,-0.1,-0.36,0.96,11.54,5.98,-63.84
2.520000,-0.13,-0.25,1.1,-17.7,42.91,-77.58
2.540000,-0.11,-0.15,1.1,-62.13,87.4,-82.58
2.560000,-0.12,-0.25,1.01,-4.27,-10.99,-56.21
2.580000,-0.03,-0.13,0.95,-66.16,87.22,-86.98
2.600000,0.1,-0.14,0.83,-18.49,30.33,-94.24
2.620000,0.05,-0.19,1.03,50.11,-74.34,-91.25
2.640000,-0.13,-0.16,1.23,67.81,-119.26,-56.15
2.660000,-0.16,-0.09,1.17,35.77,-36.93,4.39
2.680000,-0.12,-0.17,1.12,26.43,52.49,56.58
2.700000,-0.11,-0.25,1.02,41.99,63.05,74.16
2.720000,-0.08,-0.28,0.95,54.32,21.67,21.0
2.740000,-0.06,-0.22,0.96,45.59,24.78,-2.87
2.760000,-0.04,-0.2,0.93,44.31,33.81,-11.72
2.780000,-0.04,-0.25,0.93,50.23,52.86,-5.55
2.800000,-0.03,-0.29,0.99,30.58,62.81,17.88
2.820000,0.01,-0.23,1.08,-21.36,29.36,52.8
2.840000,0.06,-0.2,1.11,-38.76,-14.04,70.86
2.860000,0.04,-0.28,0.95,49.32,-10.07,32.04
2.880000,0.04,-0.32,0.89,60.85,-1.1,15.38
2.900000,0.03,-0.33,0.87,39.86,0.37,5.43
2.920000,0.01,-0.32,0.89,7.51,0.92,-0.18
2.940000,0.0,-0.3,0.94,-21.42,0.06,-0.61
2.960000,0.01,-0.27,0.98,-36.32,-0.98,0.79
2.980000,0.06,-0.2,1.11,-38.76,-14.04,70.86
